id,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_owner_name,business_structure,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date,business_image_url,business_website
5252,C8-0000001-LIC,Active,2024-02-02T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-01-07T00:00:00,2025-01-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),Certified Ag Labs,California AG Labs,Robert Myers,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Yuba,Data Not Available,Rmyers@crtaglabs.Com,(916) 595-1269,Data Not Available,,,2024-02-12T04:55:01.1266667,,
5254,C8-0000003-LIC,Active,2022-01-12T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-01-12T00:00:00,2025-01-12T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Shasta Laboratory, Inc.",Shasta Laboratory,"Daeseob Cho, Jay Ambrosio, Paul Eric Ambrosio",Corporation,Data Not Available,Not Published,Data Not Available,CA,Alameda,Data Not Available,Dcho@shastalab.Com,(510) 992-6800,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7341,C8-0000008-LIC,Active,2019-05-01T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-01T00:00:00,2024-04-30T00:00:00,BCC,Bureau of Cannabis Control (BCC),Belcosta Labs Long Beach LLC,Data Not Available,"Matthew Theodore Dechter, Myron Ronay",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Info@belcostalabs.Com,(562) 676-4206,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7344,C8-0000013-LIC,Active,2020-05-11T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-10T00:00:00,2024-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Sc Laboratories California LLC,"SC Laboratories, SC Labs","Alan Peyrat, Bela Robert Schwartz, Bela Szigethy, Jacob Stoller, Jeffrey Gray, Jeffrey Jerome Vail, Stewart Allen Kohl",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Santa Cruz,Data Not Available,Jeff@sclabs.Com,(866) 435-0709,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7347,C8-0000016-LIC,Active,2019-05-22T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-22T00:00:00,2024-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Landau Laboratories, Inc","LANDAU LABORATORIES, INC","Georg Kallert, Michael G Agadjanyan, RUBEN S VARDANYAN, Shushan Karapetyan Karapetyan",Corporation,Data Not Available,Not Published,Data Not Available,CA,Riverside,Data Not Available,Georgkallert@mac.Com,(305) 606-5711,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7348,C8-0000018-LIC,Active,2019-05-29T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2024-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Pure Analytics, LLC",Pure Analytics,Samantha Jane Miller,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Sonoma,Data Not Available,Smiller@pureanalytics.Net,(707) 206-2408,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7350,C8-0000021-LIC,Active,2021-03-04T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2024-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),Harrens Lab Inc.,Harrens Lab Inc.,"Jinbo Liu, Ming Li",Corporation,Data Not Available,Not Published,Data Not Available,CA,Alameda,Data Not Available,Mingli@harrenslab.Com,(510) 887-8885,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7351,C8-0000022-LIC,Active,2019-05-29T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2024-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Ph Solutions, LLC",pH Solutions,"Benjamin James Rosman, Lev Spivak-Birndorf, Raquel A Keledjian",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Raquel@psilabs.Org,(310) 703-9567,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7395,C8-0000035-LIC,Active,2022-08-08T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-08-05T00:00:00,2024-08-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),"8 Lane Investments, Inc.",VRX Labs,"Charles Vethan, Hung Ha, Jason Poon, Johnny Salinas",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Charles.Vethan@vrxlabs.Com,(832) 642-1650,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7397,C8-0000038-LIC,Active,2019-06-25T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-06-25T00:00:00,2024-06-24T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Brightside Scientific, Inc.",Cannabis Testing Laboratory,"Hinaxi H Patel, Khaled Matahen",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Team@brightsidesci.Com,(844) 420-5227,Data Not Available,,,2024-02-12T04:55:01.1266667,,
