id,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_owner_name,business_structure,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date,business_image_url,business_website
12896,C10-0000002-LIC,Active,2018-11-03T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2018-11-03T00:00:00,2024-11-03T00:00:00,BCC,Bureau of Cannabis Control (BCC),Monterey County Patients Group Incorporated,Green Dragon Vallejo,"Eric Thomas, Glenn Standridge, Manuel Semerdjian",Corporation,Data Not Available,1988 Broadway St,Vallejo,CA,Solano,94589,Mcpgmembership@gmail.Com,(707) 653-2043,Data Not Available,38.140374,-122.2520144,2024-03-27T04:57:29.43,,
12897,C10-0000003-LIC,Active,2018-11-06T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2018-11-06T00:00:00,2024-11-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Omega Group, Inc.",Dank Depot,Gayk Akhsharumov,Corporation,Data Not Available,68031 Ramon Rd,Cathedral CTY,CA,Riverside,92234,Omegagroupcc@gmail.Com,(818) 281-7080,Data Not Available,33.81539472,-116.4748564,2024-03-27T04:57:29.43,,
10002,C10-0000005-LIC,Active,2018-11-14T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2018-11-14T00:00:00,2024-11-14T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Dpc Sf, LLC",Dutchman's Flat,"Beth Thuna, Marcus  Thuna, Robert Watson",Limited Liability Company,Data Not Available,2544 3rd St,San Francisco,CA,San Francisco,94122,Rw@dutchmansflat.Com,(415) 203-6277,Data Not Available,37.75738154,-122.38835305,2024-03-27T04:57:29.43,,
10004,C10-0000007-LIC,Active,2018-11-20T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2018-11-20T00:00:00,2024-11-20T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Blue Mountain Collective, Inc.","BLUE MOUNTAIN COLLECTIVE, INC.",Conrad Bonet,Corporation,Data Not Available,692 Marshall Ave,San Andreas,CA,Calaveras,95249,Conradbonet0710@gmail.Com,(209) 754-3289,Data Not Available,38.190253,-120.671625,2024-03-27T04:57:29.43,,
10005,C10-0000008-LIC,Active,2018-11-20T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2018-11-20T00:00:00,2024-11-20T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Creekside Wellness, Inc.",Data Not Available,Jeffery Angell,Corporation,Data Not Available,12603 Highway 9,Boulder Creek,CA,Santa Cruz,95006,Whereisjeff@gmail.Com,(801) 560-9466,Data Not Available,37.11720119,-122.120471,2024-03-27T04:57:29.43,,
10006,C10-0000009-LIC,Active,2021-02-02T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-01-31T00:00:00,2025-01-31T00:00:00,BCC,Bureau of Cannabis Control (BCC),Horizon Collective Inc.,1841 El Camino,"John Swanston, Sean Eaddy",Corporation,Data Not Available,1841 El Camino Ave,Sacramento,CA,Sacramento,95815,Horizoncollective@yahoo.Com,(916) 870-8067,Data Not Available,38.611463,-121.423635,2024-03-27T04:57:29.43,,
10007,C10-0000010-LIC,Active,2019-03-19T00:00:00,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-03-19T00:00:00,2025-03-18T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Alternatives, A Health Collective","ALTERNATIVES, A HEALTH COLLECTIVE",KAREN KISSLER,Corporation,Data Not Available,1603 Hampton Way,Santa Rosa,CA,Sonoma,95407,Mskslr@comcast.Net,(415) 250-8888,Data Not Available,38.42820076,-122.73834729,2024-03-27T04:57:29.43,,
10009,C10-0000012-LIC,Active,2019-04-02T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-02T00:00:00,2025-04-01T00:00:00,BCC,Bureau of Cannabis Control (BCC),Us Bloom Inc.,US Bloom,Nicholas Foster,Corporation,Data Not Available,1201 Springs Rd,Vallejo,CA,Solano,94591,Usbloom707@gmail.Com,(707) 561-0716,Data Not Available,38.105806,-122.22793,2024-03-27T04:57:29.43,,
10011,C10-0000014-LIC,Active,2019-04-04T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-04T00:00:00,2024-04-03T00:00:00,BCC,Bureau of Cannabis Control (BCC),Hah Coalinga LLC,Have a Heart CC,"Adam  Levin, Jay Paul Henderon, Ryan Kunkel",Limited Liability Company,Data Not Available,286 5th St N,Coalinga,CA,Fresno,93210,Core@haveaheartcc.Com,(206) 889-0583,Data Not Available,36.14031925,-120.3612477,2024-03-27T04:57:29.43,,
10013,C10-0000016-LIC,Active,2019-04-09T00:00:00,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-09T00:00:00,2024-04-08T00:00:00,BCC,Bureau of Cannabis Control (BCC),Mission Herbal Care Inc,THE COOKIE COMPANY,Arthur Vugelman,Corporation,Data Not Available,3139 Mission St,San Francisco,CA,San Francisco,94110,Arthurvugelman@yahoo.Com,(323) 309-9090,Data Not Available,37.74703693,-122.41874546,2024-03-27T04:57:29.43,,
