activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,medical,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,True,"VMO-Ops, Inc.",,"VMO-Ops, Inc.",Jamil Taylor,240-418-2120,,St. Louis city,2024-03-17T22:44:54.291227,,DIS000001,,adult-use,DIS000001,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63118,,38.5950619,-90.2291565,MO,63118
,True,BeLeaf Medical LLC,,BeLeaf Medical LLC,Kevin Riggs,636-448-6021,,St. Louis city,2024-03-17T22:44:54.291227,,DIS000002,,adult-use,DIS000002,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,Earth City,St. Louis County,38.76786329999999,-90.453037,MO,63112
,True,GF Wellness S. Grand LLC,,GF Wellness S. Grand LLC,Joseph Delia,314-282-4679,,St. Louis city,2024-03-17T22:44:54.291227,,DIS000003,,adult-use,DIS000003,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,St. Louis,,38.5924732,-90.2438353,MO,63118
,True,COMO Health LLC,,COMO Health LLC,Kevin Gibbs,240-447-5806,,St. Louis County,2024-03-17T22:44:54.291227,,DIS000004,,adult-use,DIS000004,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Boone County,38.9517053,-92.3340724,MO,63136
,True,FP4-Broadway LLC,,FP4-Broadway LLC,Krystal Wright,816-588-8838,,St. Louis County,2024-03-17T22:44:54.291227,,DIS000005,,adult-use,DIS000005,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO,St. Louis County,38.6075525,-90.37845050000001,MO,63119
,True,"Missouri Health & Wellness, LLC",,"Missouri Health & Wellness, LLC",Maggie Chatterton,309-255-7887,,Adair County,2024-03-17T22:44:54.291227,,DIS000006,,adult-use,DIS000006,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63501,Adair County,40.19475389999999,-92.5832496,MO,63501
,True,"Bloom Medicinals of MO, LLC",,"Bloom Medicinals of MO, LLC",Nicole Stark,561-305-3656,,Clinton County,2024-03-17T22:44:54.291227,,DIS000007,,adult-use,DIS000007,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64429,Clinton County,39.7402801,-94.241057,MO,64429
,True,BMD Smithville LLC,,BMD Smithville LLC,Jack Mitchell,858-848-4588,,Clay County,2024-03-17T22:44:54.291227,,DIS000008,,adult-use,DIS000008,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,Smithville,Clay County,39.3721853,-94.5604803,MO,64089
,True,Agri-Genesis LLC,,Agri-Genesis LLC,Richard Gunnels,660-651-8895,,St. Louis city,2024-03-17T22:44:54.291227,,DIS000009,,adult-use,DIS000009,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63111,,38.5635304,-90.2479232,MO,63111
,True,BMD Liberty LLC,,BMD Liberty LLC,Jack Mitchell,858-848-4588,,Clay County,2024-03-17T22:44:54.291227,,DIS000010,,adult-use,DIS000010,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Clay County,39.2461138,-94.4191177,MO,64068
,True,"Vertical Enterprise, LLC",,"Vertical Enterprise, LLC",Andrew Goodwin,816-582-3459,,Buchanan County,2024-03-17T22:44:54.291227,,DIS000011,,adult-use,DIS000011,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,St Joseph,Buchanan County,39.774855,-94.80387619999999,MO,64506
,True,Kansas City Cannabis Company LLC,,Kansas City Cannabis Company LLC,Kevin Stallings,816-223-7159,,Clay County,2024-03-17T22:44:54.291227,,DIS000012,,adult-use,DIS000012,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,Excelsior Springs,Clay County,39.3397324,-94.24755359999999,MO,64024
,True,Kansas City Cannabis Company LLC,,Kansas City Cannabis Company LLC,Kevin Stallings,816-223-7159,,Jackson County,2024-03-17T22:44:54.291227,,DIS000013,,adult-use,DIS000013,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,Blue Springs,Jackson County,39.0371845,-94.2733511,MO,64015
,True,Agri-Genesis LLC,,Agri-Genesis LLC,Richard Gunnels,660-651-8895,,Platte County,2024-03-17T22:44:54.291227,,DIS000014,,adult-use,DIS000014,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Jackson County,39.0997265,-94.5785667,MO,64151
,True,"True Level Investments, Inc.",,"True Level Investments, Inc.",Jordan Starke,816-832-8882,,Buchanan County,2024-03-17T22:44:54.291227,,DIS000016,,adult-use,DIS000016,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64506,,39.7898725,-94.8022232,MO,64506
,True,Red Stag Retail LLC,,Red Stag Retail LLC,Alex Close,614-296-7521,,Clay County,2024-03-17T22:44:54.291227,,DIS000017,,adult-use,DIS000017,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64157,Clay County,39.2662054,-94.46967649999999,MO,64157
,True,FP2-Natural Bridge LLC,,FP2-Natural Bridge LLC,Krystal Wright,816-588-8838,,St. Louis County,2024-03-17T22:44:54.291227,,DIS000018,,adult-use,DIS000018,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,St. Louis,St. Louis County,38.7296384,-90.3459655,MO,63134
,True,Riverside Wellness LLC,,Riverside Wellness LLC,,816-321-2010,,Platte County,2024-03-17T22:44:54.291227,,DIS000019,,adult-use,DIS000019,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,Riverside,Platte County,39.17469,-94.61245489999999,MO,64150
,True,Heya St. Ann Retail II LLC,,Heya St. Ann Retail II LLC,Carl Bearden,314-650-4597,,St. Louis County,2024-03-17T22:44:54.291227,,DIS000020,,adult-use,DIS000020,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,St Ann,St. Louis County,38.7303723,-90.38081269999999,MO,63074
,True,BMD Cameron LLC,,BMD Cameron LLC,Jack Mitchell,858-848-4588,,Platte County,2024-03-17T22:44:54.291227,,DIS000021,,adult-use,DIS000021,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64151,Platte County,39.2182916,-94.6347041,MO,64151
,True,"MO Med Hannibal, LLC",,"MO Med Hannibal, LLC",Brooke Foster,660-651-3252,,Marion County,2024-03-17T22:44:54.291227,,DIS000022,,adult-use,DIS000022,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63401,Marion County,39.7083649,-91.3585066,MO,63401
,True,"Mother Dispensaries, Inc.",,"Mother Dispensaries, Inc.",Cole  Swoboda,970-485-5730,,Buchanan County,2024-03-17T22:44:54.291227,,DIS000023,,adult-use,DIS000023,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,St Joseph,Buchanan County,39.7236134,-94.79234749999999,MO,64503
,True,JG Missouri LLC,,JG Missouri LLC,Gail Brashers-Krug,319-621-4006,,Adair County,2024-03-17T22:44:54.291227,,DIS000024,,adult-use,DIS000024,Active,,,retailer,Missouri Department of Health and Senior Services,MDHSS,False,,Kirksville,Adair County,40.1964133,-92.5771164,MO,63501
